speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
Chris,315.0,345.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris,330.0,360.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris,600.0,630.0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Chris,615.0,645.0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Chris,630.0,660.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris,720.0,750.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Chris,735.0,765.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Chris,750.0,780.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Chris,765.0,795.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Chris,795.0,825.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
Chris,810.0,840.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
Chris,825.0,855.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chris,840.0,870.0,0,1,3,1,0,0,1,0,2,1,0,0,0,0
Chris,855.0,885.0,0,0,2,1,0,0,1,0,2,1,0,1,0,1
Chris,870.0,900.0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
Chris,885.0,915.0,0,0,1,1,0,0,2,0,2,0,0,0,0,0
Chris,900.0,930.0,0,0,3,1,0,2,3,0,2,0,0,0,0,0
Chris,915.0,945.0,0,0,2,1,0,2,2,0,1,0,0,0,0,0
Chris,930.0,960.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris,945.0,975.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Chris,960.0,990.0,0,0,1,0,0,0,2,0,1,0,0,0,0,1
Chris,975.0,1005.0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Chris,1410.0,1440.0,0,0,2,0,0,0,2,0,2,0,0,1,0,0
Chris,1425.0,1455.0,0,0,2,0,0,0,2,0,2,0,0,1,0,0
Chris,1440.0,1470.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
Chris,1455.0,1485.0,0,0,1,3,0,0,2,0,0,0,0,0,0,0
Chris,1470.0,1500.0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Chris,1485.0,1515.0,0,0,0,4,0,0,4,0,1,0,0,0,0,0
Chris,1500.0,1530.0,0,0,0,4,0,0,3,0,1,0,0,0,0,0
Chris,1530.0,1560.0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Chris,1545.0,1575.0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Chris,1560.0,1590.0,0,0,1,1,0,0,2,0,2,0,0,1,0,0
Chris,1575.0,1605.0,0,0,1,1,0,0,2,0,2,0,0,1,0,0
Chris,2430.0,2460.0,0,0,0,0,0,1,2,1,0,0,0,1,0,0
Chris,2445.0,2475.0,0,0,0,0,0,1,2,1,0,0,0,1,0,0
Chris,2670.0,2700.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Chris,2685.0,2715.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Chris,2745.0,2775.0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
Chris,2760.0,2790.0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
Chris,3765.0,3795.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Chris,3780.0,3810.0,0,0,1,1,0,1,0,2,0,0,0,0,0,0
Chris,3795.0,3825.0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
