speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
Chris,165.0,195.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Chris,180.0,210.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Chris,195.0,225.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Chris,210.0,240.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Chris,420.0,450.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Chris,435.0,465.0,0,0,2,0,0,0,0,0,0,0,2,5,0,2
Chris,450.0,480.0,0,0,4,0,0,1,0,0,1,2,2,6,0,3
Chris,465.0,495.0,0,0,2,0,0,1,0,0,1,2,1,2,0,1
Chris,795.0,825.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Chris,810.0,840.0,0,0,3,0,0,1,0,0,0,1,1,4,0,1
Chris,825.0,855.0,0,0,3,0,0,0,0,0,0,1,1,3,0,1
Chris,840.0,870.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chris,870.0,900.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Chris,885.0,915.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Chris,1275.0,1305.0,0,0,2,0,0,0,0,0,0,2,0,3,0,0
Chris,1290.0,1320.0,0,0,3,0,0,0,0,0,0,2,0,5,0,0
Chris,1305.0,1335.0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Chris,3255.0,3285.0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Chris,3270.0,3300.0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Chris,3780.0,3810.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris,3795.0,3825.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
