speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
HCILab2,285.0,315.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,300.0,330.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HCILab2,315.0,345.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,375.0,405.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HCILab2,390.0,420.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HCILab2,420.0,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,435.0,465.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,675.0,705.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
HCILab2,690.0,720.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
HCILab2,795.0,825.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
HCILab2,810.0,840.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
HCILab2,930.0,960.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,945.0,975.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1005.0,1035.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HCILab2,1020.0,1050.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
HCILab2,1035.0,1065.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1065.0,1095.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1080.0,1110.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1095.0,1125.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1110.0,1140.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1140.0,1170.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1155.0,1185.0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
HCILab2,1170.0,1200.0,0,0,2,0,0,0,0,0,0,0,1,3,0,0
HCILab2,1185.0,1215.0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
HCILab2,1260.0,1290.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1275.0,1305.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1350.0,1380.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1365.0,1395.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1590.0,1620.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
HCILab2,1605.0,1635.0,0,0,4,0,0,2,0,0,0,1,1,0,0,0
HCILab2,1620.0,1650.0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
HCILab2,1830.0,1860.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1845.0,1875.0,0,0,4,0,0,1,0,0,0,1,0,3,0,1
HCILab2,1860.0,1890.0,0,0,4,0,0,1,0,0,0,1,1,3,0,1
HCILab2,1875.0,1905.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HCILab2,2220.0,2250.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2235.0,2265.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2250.0,2280.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
HCILab2,2265.0,2295.0,0,0,1,1,0,1,0,0,0,0,2,1,0,0
HCILab2,2280.0,2310.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
HCILab2,2460.0,2490.0,0,0,3,0,0,1,1,0,1,0,0,3,0,0
HCILab2,2475.0,2505.0,0,0,3,0,0,1,1,0,1,0,0,3,0,0
HCILab2,2700.0,2730.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2715.0,2745.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HCILab2,3390.0,3420.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,3405.0,3435.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
