speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
CSLLaptop,330.0,360.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,345.0,375.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,465.0,495.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,480.0,510.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
CSLLaptop,495.0,525.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,585.0,615.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,600.0,630.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,615.0,645.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,1005.0,1035.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1020.0,1050.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1035.0,1065.0,0,0,3,0,0,1,1,0,3,1,0,0,0,0
CSLLaptop,1050.0,1080.0,0,0,2,0,0,1,1,0,3,0,0,0,0,0
CSLLaptop,1485.0,1515.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,1500.0,1530.0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
CSLLaptop,1515.0,1545.0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
CSLLaptop,1815.0,1845.0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
CSLLaptop,1830.0,1860.0,0,0,3,2,0,1,0,0,1,0,0,1,0,0
CSLLaptop,1845.0,1875.0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
CSLLaptop,1860.0,1890.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1905.0,1935.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1920.0,1950.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1935.0,1965.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,2370.0,2400.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2385.0,2415.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
