speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
Chris,165.0,195.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chris,180.0,210.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chris,255.0,285.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris,270.0,300.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Chris,285.0,315.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chris,375.0,405.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chris,390.0,420.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chris,405.0,435.0,0,0,4,0,0,2,0,1,7,2,0,0,0,0
Chris,420.0,450.0,0,0,4,0,0,2,0,1,7,2,0,0,0,0
Chris,435.0,465.0,0,0,6,3,0,4,0,0,6,4,0,1,0,0
Chris,450.0,480.0,0,0,4,3,0,3,0,0,4,3,0,1,0,0
Chris,465.0,495.0,0,0,4,3,0,5,0,0,5,4,0,1,0,0
Chris,480.0,510.0,0,0,4,3,0,5,0,0,5,4,0,1,0,0
Chris,495.0,525.0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
Chris,690.0,720.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chris,705.0,735.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Chris,720.0,750.0,0,0,2,1,0,0,0,0,2,0,0,0,0,0
Chris,735.0,765.0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Chris,750.0,780.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Chris,765.0,795.0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
Chris,780.0,810.0,0,0,1,3,0,1,0,1,0,2,0,0,0,0
Chris,795.0,825.0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
Chris,810.0,840.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Chris,840.0,870.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Chris,855.0,885.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Chris,870.0,900.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Chris,975.0,1005.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Chris,990.0,1020.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Chris,1860.0,1890.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Chris,1875.0,1905.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Chris,1890.0,1920.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chris,2595.0,2625.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chris,2610.0,2640.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
